%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1640845744804609780,0,1023.0,694.0,1023.0,1021.0
1640845744901190967,0,1023.0,696.0,1023.0,1020.0
1640845744996685089,0,1023.0,694.0,1022.0,1023.0
1640845745108259860,0,1023.0,693.0,1023.0,1018.0
1640845745204916895,0,1019.0,695.0,1023.0,1020.0
1640845745300319875,0,1020.0,699.0,1021.0,1023.0
1640845745412121827,0,1023.0,693.0,1023.0,956.0
1640845745509126949,0,1023.0,695.0,1023.0,933.0
1640845745604364925,0,1023.0,695.0,1022.0,961.0
1640845745716176530,0,1023.0,696.0,1023.0,1023.0
1640845745815196814,0,1023.0,696.0,1022.0,1023.0
1640845745908089177,0,1023.0,695.0,1023.0,1023.0
1640845746019264802,0,1020.0,701.0,1020.0,1023.0
1640845746115162470,0,1023.0,695.0,1022.0,1022.0
1640845746211439077,0,1021.0,696.0,1023.0,1022.0
1640845746322884705,0,1022.0,698.0,1021.0,1023.0
1640845746419108984,0,1023.0,695.0,1021.0,1023.0
1640845746514929938,0,1023.0,694.0,1020.0,1021.0
1640845746626635557,0,1023.0,693.0,1023.0,1022.0
1640845746723306537,0,1023.0,696.0,1023.0,1021.0
1640845746819039490,0,1023.0,697.0,1021.0,1023.0
1640845746930110705,0,1020.0,696.0,1023.0,1023.0
1640845747027980427,0,1022.0,697.0,1023.0,1005.0
1640845747122996091,0,817.0,693.0,1020.0,1017.0
1640845747233844718,0,854.0,695.0,1022.0,1008.0
1640845747330720001,0,823.0,693.0,1023.0,955.0
1640845747427569861,0,810.0,693.0,1023.0,953.0
1640845747537543624,0,817.0,694.0,1023.0,935.0
1640845747633994682,0,812.0,695.0,1023.0,944.0
1640845747731203038,0,806.0,694.0,1023.0,926.0
1640845747844244332,0,808.0,694.0,1023.0,940.0
1640845747937197608,0,816.0,693.0,1023.0,951.0
1640845748049218618,0,805.0,693.0,1023.0,969.0
1640845748145017931,0,805.0,694.0,1023.0,953.0
1640845748241863297,0,812.0,695.0,1021.0,959.0
1640845748352733510,0,818.0,695.0,1023.0,962.0
1640845748448737559,0,805.0,693.0,1023.0,958.0
1640845748546106066,0,803.0,702.0,1022.0,957.0
1640845748656476944,0,804.0,693.0,1023.0,962.0
1640845748753359130,0,804.0,692.0,1023.0,965.0
1640845748848345575,0,803.0,696.0,1021.0,963.0
1640845748960161621,0,809.0,695.0,1023.0,965.0
1640845749056192295,0,805.0,694.0,1023.0,968.0
1640845749152007919,0,802.0,696.0,1023.0,952.0
1640845749263966671,0,801.0,693.0,1023.0,959.0
1640845749360466395,0,802.0,696.0,1020.0,966.0
1640845749456684168,0,812.0,692.0,1023.0,950.0
1640845749567450829,0,800.0,698.0,1021.0,960.0
1640845749665887156,0,803.0,694.0,1023.0,956.0
1640845749759828877,0,799.0,698.0,1022.0,960.0
1640845749871250350,0,819.0,693.0,1023.0,961.0
1640845749970855081,0,790.0,696.0,1023.0,966.0
1640845750063217910,0,804.0,692.0,1023.0,969.0
1640845750174827705,0,794.0,696.0,1023.0,971.0
1640845750271622070,0,807.0,694.0,1023.0,963.0
1640845750366895553,0,805.0,695.0,1022.0,963.0
1640845750478716779,0,809.0,693.0,1021.0,966.0
1640845750575218521,0,812.0,693.0,1023.0,959.0
1640845750671448551,0,805.0,697.0,1019.0,957.0
1640845750782306882,0,817.0,692.0,1023.0,952.0
1640845750879863632,0,813.0,693.0,1023.0,967.0
1640845750974764221,0,814.0,693.0,1023.0,969.0
1640845751085931819,0,807.0,695.0,1023.0,962.0
1640845751182643730,0,810.0,695.0,1023.0,971.0
1640845751278025204,0,805.0,698.0,1023.0,965.0
1640845751389567862,0,807.0,692.0,1023.0,959.0
1640845751486010530,0,812.0,694.0,1023.0,966.0
1640845751597320004,0,808.0,692.0,1021.0,967.0
1640845751693260086,0,804.0,693.0,1023.0,958.0
1640845751789362754,0,802.0,695.0,1023.0,959.0
1640845751900871379,0,801.0,693.0,1023.0,960.0
1640845751997093710,0,802.0,702.0,1019.0,964.0
1640845752093161405,0,810.0,694.0,1022.0,960.0
1640845752204714374,0,809.0,693.0,1023.0,957.0
1640845752300977673,0,803.0,694.0,1022.0,968.0
1640845752396976177,0,803.0,694.0,1023.0,956.0
1640845752508445526,0,805.0,696.0,1021.0,956.0
1640845752604353400,0,808.0,692.0,1023.0,955.0
1640845752701505214,0,804.0,696.0,1020.0,960.0
1640845752811839910,0,806.0,697.0,1023.0,956.0
1640845752908958211,0,800.0,696.0,1019.0,964.0
1640845753004374502,0,807.0,691.0,1023.0,955.0
1640845753116200232,0,808.0,694.0,1022.0,959.0
1640845753212266125,0,810.0,694.0,1023.0,948.0
1640845753307692400,0,811.0,695.0,1020.0,957.0
1640845753419227657,0,813.0,694.0,1022.0,950.0
1640845753516611774,0,808.0,695.0,1021.0,959.0
1640845753612060015,0,812.0,692.0,1023.0,955.0
1640845753723009337,0,807.0,696.0,1023.0,956.0
1640845753819951929,0,812.0,694.0,1023.0,952.0
1640845753915505212,0,810.0,695.0,1023.0,955.0
1640845754026491498,0,812.0,694.0,1022.0,953.0
1640845754123588049,0,810.0,695.0,1023.0,955.0
1640845754219738097,0,813.0,694.0,1022.0,953.0
1640845754330205099,0,810.0,694.0,1023.0,951.0
1640845754426969846,0,809.0,698.0,1019.0,953.0
1640845754523126580,0,813.0,694.0,1023.0,958.0
1640845754633951963,0,814.0,697.0,1021.0,951.0
1640845754730974708,0,817.0,692.0,1023.0,947.0
1640845754841592106,0,808.0,697.0,1020.0,950.0
1640845754937492713,0,815.0,692.0,1023.0,950.0
1640845755037314711,0,807.0,699.0,1020.0,958.0
1640845755145440771,0,810.0,693.0,1023.0,953.0
1640845755243596528,0,811.0,692.0,1022.0,965.0
1640845755337746840,0,811.0,695.0,1023.0,953.0
1640845755449582755,0,809.0,692.0,1023.0,958.0
1640845755545281372,0,807.0,695.0,1019.0,958.0
1640845755641789001,0,809.0,692.0,1023.0,947.0
1640845755752519340,0,808.0,695.0,1023.0,950.0
1640845755848815959,0,803.0,696.0,1020.0,954.0
1640845755946323878,0,803.0,694.0,1023.0,962.0
1640845756056343011,0,806.0,695.0,1023.0,950.0
1640845756152672838,0,807.0,697.0,1020.0,948.0
1640845756248636892,0,817.0,691.0,1023.0,942.0
1640845756360028993,0,807.0,694.0,1021.0,950.0
1640845756455702765,0,804.0,695.0,1023.0,952.0
1640845756552387504,0,807.0,694.0,1023.0,958.0
1640845756663448338,0,801.0,695.0,1023.0,955.0
1640845756759979061,0,809.0,693.0,1023.0,948.0
1640845756855135806,0,807.0,698.0,1021.0,946.0
1640845756967001921,0,809.0,694.0,1023.0,949.0
1640845757063791677,0,807.0,696.0,1022.0,952.0
1640845757159968928,0,802.0,697.0,1023.0,954.0
1640845757270739985,0,813.0,692.0,1023.0,949.0
1640845757367260419,0,810.0,695.0,1021.0,952.0
1640845757462928036,0,808.0,693.0,1023.0,953.0
1640845757574286260,0,812.0,692.0,1020.0,962.0
1640845757670580047,0,812.0,694.0,1023.0,948.0
1640845757766248412,0,813.0,693.0,1023.0,945.0
1640845757878044238,0,809.0,695.0,1019.0,949.0
1640845757975080002,0,811.0,692.0,1023.0,947.0
1640845758071154588,0,808.0,693.0,1020.0,951.0
1640845758181772988,0,804.0,695.0,1023.0,952.0
1640845758277686122,0,805.0,694.0,1023.0,954.0
1640845758389379767,0,800.0,694.0,1021.0,955.0
1640845758486608310,0,804.0,693.0,1023.0,955.0
1640845758581434538,0,804.0,700.0,1018.0,954.0
1640845758693027172,0,806.0,690.0,1023.0,951.0
1640845758789855237,0,805.0,693.0,1022.0,959.0
1640845758885632080,0,802.0,694.0,1023.0,955.0
1640845758996709168,0,801.0,698.0,1023.0,950.0
1640845759092803653,0,797.0,698.0,1018.0,953.0
1640845759189567776,0,802.0,694.0,1023.0,947.0
1640845759300385327,0,801.0,693.0,1023.0,956.0
1640845759396963912,0,798.0,696.0,1022.0,952.0
1640845759492991519,0,811.0,692.0,1023.0,953.0
1640845759603949828,0,803.0,693.0,1023.0,960.0
1640845759700220915,0,813.0,694.0,1023.0,954.0
1640845759795889062,0,798.0,692.0,1023.0,955.0
1640845759907766635,0,798.0,699.0,1020.0,950.0
1640845760004693768,0,798.0,694.0,1023.0,945.0
1640845760101113240,0,800.0,691.0,1023.0,947.0
1640845760211416994,0,793.0,699.0,1020.0,944.0
1640845760307367781,0,798.0,694.0,1023.0,949.0
1640845760403904163,0,797.0,692.0,1022.0,940.0
1640845760515116781,0,798.0,695.0,1020.0,948.0
1640845760612216439,0,795.0,696.0,1022.0,948.0
1640845760708009306,0,798.0,694.0,1023.0,943.0
1640845760818818877,0,800.0,692.0,1023.0,947.0
1640845760915065630,0,798.0,694.0,1021.0,958.0
1640845761027524091,0,799.0,694.0,1023.0,959.0
1640845761122331272,0,798.0,694.0,1023.0,949.0
1640845761218880223,0,804.0,692.0,1023.0,938.0
1640845761314965670,0,796.0,693.0,1023.0,942.0
1640845761426076958,0,796.0,696.0,1023.0,944.0
1640845761522467078,0,803.0,693.0,1023.0,944.0
1640845761633805638,0,803.0,694.0,1023.0,952.0
1640845761729869516,0,798.0,696.0,1020.0,952.0
1640845761826735736,0,798.0,690.0,1022.0,951.0
1640845761937476574,0,802.0,693.0,1023.0,947.0
1640845762034508481,0,795.0,694.0,1023.0,948.0
1640845762129763538,0,794.0,697.0,1019.0,952.0
1640845762243437271,0,797.0,696.0,1023.0,943.0
1640845762343566729,0,799.0,692.0,1023.0,944.0
1640845762433240016,0,797.0,693.0,1023.0,941.0
1640845762544785817,0,799.0,694.0,1023.0,949.0
1640845762641877502,0,793.0,695.0,1023.0,953.0
1640845762737545786,0,797.0,693.0,1023.0,949.0
1640845762848415746,0,800.0,690.0,1023.0,958.0
1640845762946307383,0,795.0,694.0,1020.0,960.0
1640845763046863129,0,792.0,695.0,1019.0,959.0
1640845763151985643,0,794.0,693.0,1023.0,951.0
1640845763249133320,0,799.0,691.0,1023.0,955.0
1640845763344877033,0,801.0,694.0,1023.0,953.0
1640845763456835335,0,795.0,695.0,1022.0,954.0
1640845763553966271,0,796.0,692.0,1023.0,952.0
1640845763648728063,0,803.0,694.0,1023.0,954.0
1640845763759266033,0,791.0,692.0,1023.0,955.0
1640845763856034331,0,794.0,694.0,1022.0,954.0
1640845763952042479,0,792.0,699.0,1019.0,937.0
1640845764062937521,0,797.0,691.0,1022.0,942.0
1640845764159684456,0,797.0,692.0,1023.0,948.0
1640845764254970276,0,800.0,693.0,1021.0,949.0
1640845764366606388,0,798.0,695.0,1020.0,945.0
1640845764463285098,0,801.0,693.0,1023.0,938.0
1640845764559569606,0,806.0,691.0,1023.0,938.0
1640845764670304575,0,801.0,695.0,1023.0,949.0
1640845764767033891,0,796.0,696.0,1022.0,949.0
1640845764862443770,0,797.0,694.0,1023.0,944.0
1640845764973920958,0,797.0,693.0,1023.0,943.0
1640845765070626112,0,803.0,692.0,1023.0,939.0
1640845765181658746,0,800.0,691.0,1023.0,941.0
1640845765277572104,0,800.0,692.0,1023.0,945.0
1640845765374196002,0,797.0,692.0,1023.0,938.0
1640845765485310324,0,795.0,697.0,1021.0,948.0
1640845765582032860,0,793.0,695.0,1023.0,949.0
1640845765677340897,0,795.0,694.0,1023.0,945.0
1640845765789048654,0,797.0,692.0,1023.0,947.0
1640845765884944019,0,799.0,694.0,1023.0,945.0
1640845765981517961,0,799.0,693.0,1019.0,952.0
1640845766092496762,0,797.0,694.0,1023.0,949.0
1640845766189198322,0,793.0,694.0,1023.0,953.0
1640845766286483548,0,797.0,693.0,1023.0,955.0
1640845766396095770,0,797.0,692.0,1023.0,945.0
1640845766492365464,0,796.0,693.0,1021.0,956.0
1640845766589024972,0,792.0,695.0,1020.0,948.0
1640845766699809033,0,794.0,699.0,1023.0,950.0
1640845766796687559,0,807.0,692.0,1023.0,942.0
1640845766892889922,0,798.0,693.0,1023.0,945.0
1640845767003467357,0,794.0,694.0,1020.0,950.0
1640845767100006698,0,795.0,694.0,1022.0,948.0
1640845767198017119,0,794.0,695.0,1023.0,952.0
1640845767307045096,0,796.0,692.0,1023.0,950.0
1640845767403753540,0,805.0,691.0,1023.0,945.0
1640845767499970811,0,797.0,692.0,1022.0,951.0
1640845767610787850,0,795.0,695.0,1023.0,949.0
1640845767707903325,0,796.0,694.0,1023.0,941.0
1640845767802723714,0,796.0,694.0,1023.0,938.0
1640845767914391836,0,795.0,692.0,1023.0,939.0
1640845768011597010,0,804.0,693.0,1022.0,948.0
1640845768106703668,0,796.0,693.0,1023.0,949.0
1640845768217963335,0,797.0,693.0,1023.0,952.0
1640845768314684640,0,794.0,697.0,1017.0,946.0
1640845768425796899,0,796.0,695.0,1020.0,949.0
1640845768521741933,0,797.0,695.0,1022.0,943.0
1640845768619396508,0,808.0,691.0,1023.0,942.0
1640845768729349175,0,799.0,694.0,1023.0,941.0
1640845768826043958,0,801.0,693.0,1023.0,940.0
1640845768921718955,0,800.0,692.0,1023.0,941.0
1640845769033338523,0,805.0,692.0,1023.0,941.0
1640845769129425504,0,805.0,692.0,1023.0,945.0
1640845769225315410,0,803.0,694.0,1023.0,946.0
1640845769337418735,0,799.0,690.0,1023.0,944.0
1640845769433020270,0,800.0,692.0,1023.0,943.0
1640845769529128692,0,798.0,693.0,1023.0,945.0
1640845769647240443,0,798.0,694.0,1023.0,936.0
1640845769736445943,0,796.0,694.0,1023.0,941.0
1640845769832600641,0,798.0,692.0,1023.0,943.0
1640845769943974845,0,796.0,694.0,1021.0,944.0
1640845770041204759,0,795.0,695.0,1020.0,943.0
1640845770136680145,0,798.0,698.0,1019.0,939.0
1640845770247682670,0,798.0,698.0,1022.0,933.0
1640845770344012368,0,797.0,696.0,1022.0,942.0
1640845770439980207,0,795.0,696.0,1021.0,943.0
1640845770551282496,0,793.0,696.0,1018.0,939.0
1640845770648152434,0,792.0,695.0,1022.0,948.0
1640845770743796095,0,792.0,693.0,1019.0,938.0
1640845770855990094,0,792.0,695.0,1022.0,936.0
1640845770951289615,0,795.0,694.0,1023.0,936.0
1640845771047394878,0,798.0,693.0,1021.0,934.0
1640845771159745511,0,793.0,692.0,1023.0,933.0
1640845771254636125,0,793.0,694.0,1023.0,934.0
1640845771351021056,0,793.0,695.0,1023.0,924.0
1640845771462287412,0,795.0,694.0,1023.0,926.0
1640845771559160306,0,795.0,694.0,1023.0,927.0
1640845771670042987,0,796.0,699.0,1023.0,934.0
1640845771765937392,0,793.0,695.0,1021.0,933.0
1640845771862274517,0,797.0,694.0,1023.0,930.0
1640845771975587664,0,797.0,697.0,1022.0,937.0
1640845772069730573,0,798.0,692.0,1022.0,933.0
1640845772165641112,0,801.0,693.0,1023.0,928.0
1640845772277311751,0,802.0,692.0,1023.0,932.0
1640845772374091718,0,797.0,693.0,1023.0,941.0
1640845772470214822,0,799.0,689.0,1023.0,933.0
1640845772580912310,0,802.0,692.0,1023.0,927.0
1640845772677505968,0,797.0,692.0,1023.0,928.0
1640845772773016985,0,801.0,692.0,1023.0,926.0
1640845772884772024,0,812.0,691.0,1023.0,926.0
1640845772981102683,0,796.0,691.0,1023.0,929.0
1640845773079588905,0,799.0,691.0,1023.0,928.0
1640845773188287338,0,799.0,694.0,1023.0,928.0
1640845773284742151,0,797.0,693.0,1023.0,926.0
1640845773380422783,0,797.0,693.0,1023.0,928.0
1640845773492055980,0,796.0,694.0,1023.0,926.0
1640845773588752528,0,796.0,693.0,1023.0,924.0
1640845773687553171,0,796.0,696.0,1023.0,924.0
1640845773795910683,0,797.0,695.0,1022.0,927.0
1640845773892559958,0,800.0,692.0,1023.0,926.0
1640845773988438275,0,795.0,690.0,1023.0,932.0
1640845774099383925,0,794.0,692.0,1022.0,937.0
1640845774195902534,0,793.0,694.0,1020.0,936.0
1640845774291700154,0,797.0,691.0,1023.0,934.0
1640845774402808738,0,798.0,692.0,1023.0,940.0
1640845774499919588,0,799.0,690.0,1023.0,932.0
1640845774598002498,0,801.0,691.0,1023.0,924.0
1640845774706526032,0,799.0,693.0,1023.0,930.0
1640845774802623591,0,794.0,695.0,1023.0,931.0
1640845774914245071,0,795.0,695.0,1021.0,932.0
1640845775010165922,0,797.0,690.0,1021.0,939.0
1640845775107125830,0,799.0,697.0,1023.0,930.0
1640845775217802341,0,799.0,692.0,1023.0,932.0
1640845775314402444,0,796.0,691.0,1023.0,931.0
1640845775410021102,0,796.0,692.0,1023.0,928.0
1640845775521525470,0,792.0,694.0,1023.0,933.0
1640845775617829877,0,790.0,694.0,1019.0,936.0
1640845775713425376,0,791.0,694.0,1021.0,945.0
1640845775825049783,0,795.0,693.0,1022.0,924.0
1640845775921690342,0,795.0,692.0,1023.0,928.0
1640845776017230499,0,793.0,693.0,1023.0,936.0
1640845776128756593,0,793.0,692.0,1023.0,938.0
1640845776225943887,0,796.0,692.0,1023.0,931.0
1640845776321510371,0,792.0,697.0,1020.0,937.0
1640845776432546295,0,793.0,695.0,1020.0,933.0
1640845776529261710,0,794.0,690.0,1023.0,940.0
1640845776624689173,0,795.0,693.0,1023.0,930.0
1640845776735956124,0,788.0,694.0,1023.0,933.0
1640845776831847848,0,792.0,694.0,1023.0,937.0
1640845776928449347,0,790.0,695.0,1019.0,936.0
1640845777039566272,0,794.0,692.0,1022.0,926.0
1640845777136622480,0,799.0,689.0,1023.0,932.0
1640845777232435484,0,795.0,692.0,1023.0,926.0
1640845777343244937,0,793.0,694.0,1023.0,933.0
1640845777443886599,0,791.0,696.0,1022.0,932.0
1640845777535629274,0,796.0,692.0,1023.0,931.0
1640845777647212119,0,792.0,692.0,1023.0,924.0
1640845777743630951,0,791.0,694.0,1019.0,934.0
1640845777839773260,0,794.0,693.0,1023.0,922.0
1640845777950572558,0,798.0,690.0,1023.0,929.0
1640845778047873671,0,791.0,695.0,1023.0,931.0
